8.345e-06 1.448 0.0113
1.002 1.448 0.0065
2.003 1.448 0.0048
3.005 1.447 0.0016
4.006 1.448 0.0065
5.007 1.448 0.029
6.009 1.448 0.0581
7.01 1.447 0.071
8.012 1.448 0.071
9.013 1.448 0.0516
10.01 1.448 0.0258
11.02 1.448 0.0145
12.02 1.448 0.0113
13.02 1.448 0.0065
14.02 1.448 0.0048
15.02 1.448  0.0
16.02 1.448 0.0081
17.02 1.448 0.0403
18.03 1.445 0.0661
19.03 1.448 0.071
20.03 1.448 0.0532
21.03 1.447 0.0226
22.03 1.447 0.0145
23.03 1.448 0.0065
24.03 1.448 0.0048
25.04 1.448 0.0016
26.04 1.447 0.0048
27.04 1.448 0.0371
28.04 1.452 0.0661
29.04 1.448 0.071
30.04 1.448 0.0548
31.04 1.29 0.0274
32.05 1.448 0.0177
33.05 1.447 0.0081
34.05 1.45 0.0048
35.05 1.448 0.0016
36.05 1.448 0.0016
37.05 1.45 0.029
38.05 1.448 0.0629
39.06 1.453 0.0726
40.06 1.448 0.0581
41.06 1.448 0.029
42.06 1.448 0.0145
43.06 1.448 0.0097
44.06 1.448 0.0032
45.06 1.448  0.0
46.07 1.448 0.0129
47.07 1.448 0.05
48.07 1.45 0.0694
49.07 1.447 0.0645
50.07 1.448 0.0323
51.07 1.447 0.0161
52.07 1.447 0.0113
53.07 1.45 0.0065
54.08 1.448 0.0016
55.08 1.448  0.0
56.08 1.448 0.021
57.08 1.447 0.0516
58.08 1.448 0.071
59.08 1.447 0.0661
60.08 1.447 0.0419
61.09 1.448 0.0177
62.09 1.448 0.0161
63.09 1.448 0.0113
64.09 1.447 0.0081
65.09 1.447  0.0
66.09 1.447  0.0
67.09 1.45 0.0016
68.1 1.448 0.0097
69.1 1.448 0.0274
70.1 1.29 0.0435
71.1 1.448 0.0613
72.1 1.45 0.0661
73.1 1.448 0.071
74.1 1.447 0.0645
75.11 1.448 0.0516
76.11 1.448 0.0339
77.11 1.448 0.021
78.11 1.447 0.0161
79.11 1.447 0.0145
80.11 1.448 0.0113
81.11 1.447 0.0065
82.12 1.448 0.0065
83.12 1.448 0.0048
84.12 1.448 0.0032
85.12 1.45 0.0016
86.12 1.447  0.0
87.12 1.447 0.0016
88.12 1.448 0.0016
89.12 1.45 0.0081
90.13 1.448 0.0242
91.13 1.45 0.0468
92.13 1.447 0.0597
93.13 1.448 0.0677
94.13 1.448 0.071
95.13 1.448 0.0726
96.14 1.448 0.0613
97.14 1.447 0.0452
98.14 1.448 0.0274
99.14 1.448 0.0177
100.1 1.447 0.0145
101.1 1.448 0.0129
102.1 1.45 0.0081
103.1 1.447 0.0048
104.1 1.448 0.0065
105.1 1.447 0.0048
106.1 1.448 0.0016
107.2 1.448 0.0016
108.2 1.448  0.0
109.2 1.448 0.0065
110.2 1.448 0.0242
111.2 1.448 0.0435
112.2 1.448 0.0565
113.2 1.45 0.0661
114.2 1.447 0.0677
115.2 1.448 0.071
116.2 1.448 0.0694
117.2 1.447 0.0661
118.2 1.448 0.0565
119.2 1.447 0.0452
120.2 1.448 0.0339
